シリーズ,鋼種,key,H,B,t,R,A,W,Ix,Iy,ix,iy,Zx,Zy,Zpx,Zpy
60x30,STKR,□-60x30x3.2,60,30,3.2,6.4,5.087,3.99,21.4,7.08,2.05,1.18,7.15,4.72,9.27,5.66
75x45,STKR,□-75x45x1.6,75,45,1.6,3.2,3.672,2.88,28.4,12.9,2.78,1.88,7.56,5.75,9.16,6.46
75x45,STKR,□-75x45x2.3,75,45,2.3,4.6,5.172,4.06,38.9,17.6,2.74,1.84,10.4,7.82,12.7,8.94
75x45,STKR,□-75x45x3.2,75,45,3.2,6.4,7.007,5.5,50.8,22.8,2.69,1.8,13.5,10.1,16.9,11.8
100x40,STKR,□-100x40x1.6,100,40,1.6,3.2,4.312,3.38,53.5,12.9,3.52,1.73,10.7,6.44,13.5,7.1
100x40,STKR,□-100x40x2.3,100,40,2.3,4.6,6.092,4.78,73.9,17.5,3.48,1.7,14.8,8.77,18.8,9.85
100x40,STKR,□-100x40x4.2,100,40,4.2,8.4,10.6,8.32,120,27.6,3.36,1.61,24,13.8,31.5,16.3
100x50,STKR,□-100x50x1.6,100,50,1.6,3.2,4.632,3.64,61.3,21.1,3.64,2.13,12.3,8.43,15,9.33
100x50,STKR,□-100x50x2.3,100,50,2.3,4.6,6.552,5.14,84.8,29,3.6,2.1,17,11.6,21,13
100x50,STKR,□-100x50x3.2,100,50,3.2,6.4,8.927,7.01,112,38,3.55,2.06,22.5,15.2,28.2,17.4
100x50,STKR,□-100x50x4.5,100,50,4.5,9,12.17,9.55,147,48.9,3.47,2,29.3,19.5,37.6,23
125x40,STKR,□-125x40x1.6,125,40,1.6,3.2,5.112,4.01,94.4,15.8,4.3,1.76,15.1,7.91,19.4,8.63
125x40,STKR,□-125x40x2.3,125,40,2.3,4.6,7.242,5.69,131,21.6,4.25,1.73,20.9,10.8,27.1,12
125x75,STKR,□-125x75x2.3,125,75,2.3,4.6,8.852,6.95,192,87.5,4.65,3.14,30.6,23.3,37,26.1
125x75,STKR,□-125x75x3.2,125,75,3.2,6.4,12.13,9.52,257,117,4.6,3.1,41.1,31.1,50.1,35.3
125x75,STKR,□-125x75x4.5,125,75,4.5,9,16.67,13.1,342,155,4.53,3.04,54.8,41.2,67.7,47.5
125x75,STKR,□-125x75x6,125,75,6,12,21.63,17,428,192,4.45,2.98,68.5,51.1,86.2,60.3
150x75,STKR,□-150x75x3.2,150,75,3.2,6.4,13.73,10.8,402,137,5.41,3.16,53.6,36.6,66.3,41
150x100,STKR,□-150x100x3.2,150,100,3.2,6.4,15.33,12,488,262,5.64,4.14,65.1,52.5,78,59.2
150x100,STKR,□-150x100x4.5,150,100,4.5,9,21.17,16.6,658,352,5.58,4.08,87.7,70.4,106,80.5
150x100,STKR,□-150x100x6,150,100,6,12,27.63,21.7,835,444,5.5,4.01,111,88.8,137,103
150x100,STKR,□-150x100x9,150,100,9,18,39.67,31.1,1130,595,5.33,3.87,151,119,190,143
200x100,STKR,□-200x100x4.5,200,100,4.5,9,25.67,20.1,1330,455,7.2,4.21,133,90.9,165,102
200x100,STKR,□-200x100x6,200,100,6,12,33.63,26.4,1700,577,7.12,4.14,170,115,213,132
200x100,STKR,□-200x100x9,200,100,9,18,48.67,38.2,2350,782,6.94,4.01,235,156,300,184
150x150,カクホット,□-150x150x13,150,150,13,,70.42,55.3,2180,2180,5.57,5.57,291,291,359,359
