*,シリーズ,鋼種,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,235,295,325,385,440
_,650x650,BCP,□-650x650x19,650,650,19,66.5,461,362,299000,25.5,9200,10700,FB,,FC,FC,FC
_,650x650,BCP,□-650x650x22,650,650,22,77,527.7,414,337000,25.3,10400,12200,FA,,FB,FC,FC
_,650x650,BCP,□-650x650x25,650,650,25,87.5,592.8,465,374000,25.1,11500,13600,FA,,FA,FB,FB
_,650x650,BCP,□-650x650x28,650,650,28,98,656.3,515,407000,24.9,12500,14900,FA,,FA,FA,FA
_,650x650,BCP,□-650x650x32,650,650,32,112,738.3,580,449000,24.7,13800,16600,FA,,FA,FA,FA
_,650x650,BCP,□-650x650x36,650,650,36,126,817.4,642,487000,24.4,15000,18200,FA,,FA,FA,FA
_,650x650,BCP,□-650x650x40,650,650,40,140,893.6,702,521000,24.1,16000,19700,FA,,FA,FA,FA
_,650x650,BCP,□-650x650x45,650,650,45,157.5,984.7,773,558000,23.8,17200,21300,,,,FA,FA
_,650x650,BCP,□-650x650x50,650,650,50,175,1071,841,590000,23.5,18200,22900,,,,FA,FA
_,700x700,BCP,□-700x700x19,700,700,19,66.5,499,392,378000,27.5,10800,12600,FB,,FC,FC,FD
_,700x700,BCP,□-700x700x22,700,700,22,77,571.7,449,427000,27.3,12200,14300,FA,,FC,FC,FC
_,700x700,BCP,□-700x700x25,700,700,25,87.5,642.8,505,474000,27.1,13500,16000,FA,,FA,FB,FC
_,700x700,BCP,□-700x700x28,700,700,28,98,712.3,559,518000,27,14800,17600,FA,,FA,FA,FB
_,700x700,BCP,□-700x700x32,700,700,32,112,802.3,630,573000,26.7,16400,19600,FA,,FA,FA,FA
_,700x700,BCP,□-700x700x36,700,700,36,126,889.4,698,623000,26.5,17800,21500,FA,,FA,FA,FA
_,700x700,BCP,□-700x700x40,700,700,40,140,973.6,764,669000,26.2,19100,23300,FA,,FA,FA,FA
_,700x700,BCP,□-700x700x45,700,700,45,157.5,1075,844,720000,25.9,20600,25300,,,,FA,FA
_,700x700,BCP,□-700x700x50,700,700,50,175,1171,919,764000,25.5,21800,27200,,,,FA,FA
_,750x750,BCP,□-750x750x19,750,750,19,66.5,537,422,469000,29.6,12500,14500,FC,,FC,FD,FD
_,750x750,BCP,□-750x750x22,750,750,22,77,615.7,483,531000,29.4,14200,16600,FB,,FC,FC,FC
_,750x750,BCP,□-750x750x25,750,750,25,87.5,692.8,544,591000,29.2,15700,18500,FA,,FB,FC,FC
_,750x750,BCP,□-750x750x28,750,750,28,98,768.3,603,647000,29,17200,20400,FA,,FA,FB,FB
_,750x750,BCP,□-750x750x32,750,750,32,112,866.3,680,717000,28.8,19100,22800,FA,,FA,FA,FA
_,750x750,BCP,□-750x750x36,750,750,36,126,961.4,755,782000,28.5,20900,25000,FA,,FA,FA,FA
_,750x750,BCP,□-750x750x40,750,750,40,140,1054,827,842000,28.3,22400,27200,FA,,FA,FA,FA
_,750x750,BCP,□-750x750x45,750,750,45,157.5,1165,914,909000,27.9,24200,29700,,,,FA,FA
_,750x750,BCP,□-750x750x50,750,750,50,175,1271,998,969000,27.6,25800,32000,,,,FA,FA
_,800x800,BCP,□-800x800x19,800,800,19,66.5,575,451,574000,31.6,14300,16600,FC,,FD,FD,FD
_,800x800,BCP,□-800x800x22,800,800,22,77,659.7,518,651000,31.4,16300,19000,FB,,FC,FC,FD
_,800x800,BCP,□-800x800x25,800,800,25,87.5,742.8,583,725000,31.2,18100,21200,FA,,FC,FC,FC
_,800x800,BCP,□-800x800x28,800,800,28,98,824.3,647,795000,31.1,19900,23400,FA,,FB,FB,FC
_,800x800,BCP,□-800x800x32,800,800,32,112,930.3,730,884000,30.8,22100,26200,FA,,FA,FA,FB
_,800x800,BCP,□-800x800x36,800,800,36,126,1033,811,966000,30.6,24100,28900,FA,,FA,FA,FA
_,800x800,BCP,□-800x800x40,800,800,40,140,1134,890,1040000,30.3,26100,31400,FA,,FA,FA,FA
_,800x800,BCP,□-800x800x45,800,800,45,157.5,1255,985,1130000,30,28200,34300,,,,FA,FA
_,800x800,BCP,□-800x800x50,800,800,50,175,1371,1076,1210000,29.7,30200,37100,,,,FA,FA
_,850x850,BCP,□-850x850x19,850,850,19,66.5,613,481,694000,33.6,16300,18900,FC,,FD,FD,FD
_,850x850,BCP,□-850x850x22,850,850,22,77,703.7,552,788000,33.5,18500,21600,FC,,FC,FD,FD
_,850x850,BCP,□-850x850x25,850,850,25,87.5,792.8,622,879000,33.3,20700,24200,FB,,FC,FC,FC
_,850x850,BCP,□-850x850x28,850,850,28,98,880.3,691,965000,33.1,22700,26700,FA,,FB,FC,FC
_,850x850,BCP,□-850x850x32,850,850,32,112,994.3,781,1070000,32.9,25300,29900,FA,,FA,FB,FB
_,850x850,BCP,□-850x850x36,850,850,36,126,1105,868,1180000,32.6,27700,33000,FA,,FA,FA,FA
_,850x850,BCP,□-850x850x40,850,850,40,140,1214,953,1270000,32.4,29900,35900,FA,,FA,FA,FA
_,850x850,BCP,□-850x850x45,850,850,45,157.5,1345,1056,1380000,32.1,32500,39300,,,,FA,FA
_,850x850,BCP,□-850x850x50,850,850,50,175,1471,1155,1480000,31.7,34900,42600,,,,FA,FA
_,900x900,BCP,□-900x900x19,900,900,19,66.5,651,511,829000,35.7,18400,21300,FC,,FD,FD,FD
_,900x900,BCP,□-900x900x22,900,900,22,77,747.7,587,943000,35.5,21000,24300,FC,,FD,FD,FD
_,900x900,BCP,□-900x900x25,900,900,25,87.5,842.8,662,1050000,35.3,23400,27300,FB,,FC,FC,FD
_,900x900,BCP,□-900x900x28,900,900,28,98,936.3,735,1160000,35.2,25700,30100,FA,,FC,FC,FC
_,900x900,BCP,□-900x900x32,900,900,32,112,1058,831,1290000,34.9,28700,33800,FA,,FB,FB,FC
_,900x900,BCP,□-900x900x36,900,900,36,126,1177,924,1420000,34.7,31500,37300,FA,,FA,FA,FB
_,900x900,BCP,□-900x900x40,900,900,40,140,1294,1016,1530000,34.4,34100,40700,FA,,FA,FA,FA
_,900x900,BCP,□-900x900x45,900,900,45,157.5,1435,1126,1670000,34.1,37100,44700,,,,FA,FA
_,900x900,BCP,□-900x900x50,900,900,50,175,1571,1233,1790000,33.8,39900,48400,,,,FA,FA
_,950x950,BCP,□-950x950x22,950,950,22,77,791.7,622,1120000,37.6,23500,27200,FC,,FD,FD,FD
_,950x950,BCP,□-950x950x25,950,950,25,87.5,892.8,701,1250000,37.4,26300,30600,FC,,FC,FD,FD
_,950x950,BCP,□-950x950x28,950,950,28,98,992.3,779,1370000,37.2,28900,33800,FB,,FC,FC,FC
_,950x950,BCP,□-950x950x32,950,950,32,112,1122,881,1530000,37,32300,38000,FA,,FB,FC,FC
_,950x950,BCP,□-950x950x36,950,950,36,126,1249,981,1680000,36.7,35500,42000,FA,,FA,FB,FB
_,950x950,BCP,□-950x950x40,950,950,40,140,1374,1078,1830000,36.5,38500,45800,FA,,FA,FA,FA
_,950x950,BCP,□-950x950x45,950,950,45,157.5,1525,1197,1990000,36.2,42000,50400,,,,FA,FA
_,950x950,BCP,□-950x950x50,950,950,50,175,1671,1312,2150000,35.8,45200,54700,,,,FA,FA
_,1000x1000,BCP,□-1000x1000x22,1000,1000,22,77,835.7,656,1310000,39.6,26200,30300,FC,,FD,FD,FD
_,1000x1000,BCP,□-1000x1000x25,1000,1000,25,87.5,942.8,740,1470000,39.4,29300,34000,FC,,FC,FD,FD
_,1000x1000,BCP,□-1000x1000x28,1000,1000,28,98,1048,823,1610000,39.2,32300,37700,FB,,FC,FC,FD
_,1000x1000,BCP,□-1000x1000x32,1000,1000,32,112,1186,931,1810000,39,36100,42400,FA,,FB,FC,FC
_,1000x1000,BCP,□-1000x1000x36,1000,1000,36,126,1321,1037,1990000,38.8,39700,46900,FA,,FA,FB,FC
_,1000x1000,BCP,□-1000x1000x40,1000,1000,40,140,1454,1141,2160000,38.5,43100,51200,FA,,FA,FA,FB
_,1000x1000,BCP,□-1000x1000x45,1000,1000,45,157.5,1615,1268,2360000,38.2,47200,56400,,,,FA,FA
_,1000x1000,BCP,□-1000x1000x50,1000,1000,50,175,1771,1390,2540000,37.9,50900,61300,,,,FA,FA
*,1050x1050,BCP,□-1050x1050x25,1050,1050,25,87.5,992.8,779,1710000,41.5,32500,37700,,,,,FD
*,1050x1050,BCP,□-1050x1050x28,1050,1050,28,98,1104,867,1880000,41.3,35900,41800,,,,,FD
*,1050x1050,BCP,□-1050x1050x32,1050,1050,32,112,1250,982,2110000,41.1,40100,47000,,,,,FC
*,1050x1050,BCP,□-1050x1050x36,1050,1050,36,126,1393,1094,2320000,40.8,44200,52000,,,,,FC
*,1050x1050,BCP,□-1050x1050x40,1050,1050,40,140,1534,1204,2520000,40.6,48100,56900,,,,,FB
*,1050x1050,BCP,□-1050x1050x45,1050,1050,45,157.5,1705,1338,2760000,40.3,52600,62700,,,,,FA
*,1050x1050,BCP,□-1050x1050x50,1050,1050,50,175,1871,1469,2990000,40,56900,68300,,,,,FA
*,1100x1100,BCP,□-1100x1100x25,1100,1100,25,87.5,1043,819,1970000,43.5,35900,41600,,,,,FD
*,1100x1100,BCP,□-1100x1100x28,1100,1100,28,98,1160,911,2180000,43.3,39600,46100,,,,,FD
*,1100x1100,BCP,□-1100x1100x32,1100,1100,32,112,1314,1032,2440000,43.1,44400,51900,,,,,FC
*,1100x1100,BCP,□-1100x1100x36,1100,1100,36,126,1465,1150,2690000,42.9,48900,57500,,,,,FC
*,1100x1100,BCP,□-1100x1100x40,1100,1100,40,140,1614,1267,2930000,42.6,53300,62900,,,,,FC
*,1100x1100,BCP,□-1100x1100x45,1100,1100,45,157.5,1795,1409,3210000,42.3,58400,69400,,,,,FB
*,1100x1100,BCP,□-1100x1100x50,1100,1100,50,175,1971,1547,3480000,42,63200,75700,,,,,FA
*,1150x1150,BCP,□-1150x1150x25,1150,1150,25,87.5,1093,858,2270000,45.6,39400,45600,,,,,FD
*,1150x1150,BCP,□-1150x1150x28,1150,1150,28,98,1216,955,2500000,45.4,43600,50600,,,,,FD
*,1150x1150,BCP,□-1150x1150x32,1150,1150,32,112,1378,1082,2810000,45.1,48900,57000,,,,,FD
*,1150x1150,BCP,□-1150x1150x36,1150,1150,36,126,1537,1207,3100000,44.9,53900,63200,,,,,FC
*,1150x1150,BCP,□-1150x1150x40,1150,1150,40,140,1694,1329,3380000,44.7,58800,69200,,,,,FC
*,1150x1150,BCP,□-1150x1150x45,1150,1150,45,157.5,1885,1479,3710000,44.4,64500,76500,,,,,FB
*,1150x1150,BCP,□-1150x1150x50,1150,1150,50,175,2071,1626,4020000,44.1,69900,83400,,,,,FA
*,1200x1200,BCP,□-1200x1200x25,1200,1200,25,87.5,1143,897,2590000,47.6,43100,49800,,,,,FD
*,1200x1200,BCP,□-1200x1200x28,1200,1200,28,98,1272,999,2860000,47.4,47700,55300,,,,,FD
*,1200x1200,BCP,□-1200x1200x32,1200,1200,32,112,1442,1132,3210000,47.2,53500,62300,,,,,FD
*,1200x1200,BCP,□-1200x1200x36,1200,1200,36,126,1609,1263,3550000,47,59100,69200,,,,,FC
*,1200x1200,BCP,□-1200x1200x40,1200,1200,40,140,1774,1392,3870000,46.7,64500,75800,,,,,FC
*,1200x1200,BCP,□-1200x1200x45,1200,1200,45,157.5,1975,1550,4250000,46.4,70900,83800,,,,,FB
*,1200x1200,BCP,□-1200x1200x50,1200,1200,50,175,2171,1704,4620000,46.1,76900,91500,,,,,FA
*,1250x1250,BCP,□-1250x1250x25,1250,1250,25,87.5,1193,936,2940000,49.6,47000,54300,,,,,FD
*,1250x1250,BCP,□-1250x1250x28,1250,1250,28,98,1328,1043,3250000,49.5,52000,60200,,,,,FD
*,1250x1250,BCP,□-1250x1250x32,1250,1250,32,112,1506,1182,3650000,49.2,58400,67900,,,,,FD
*,1250x1250,BCP,□-1250x1250x36,1250,1250,36,126,1681,1320,4040000,49,64600,75400,,,,,FC
*,1250x1250,BCP,□-1250x1250x40,1250,1250,40,140,1854,1455,4410000,48.8,70500,82700,,,,,FC
*,1250x1250,BCP,□-1250x1250x45,1250,1250,45,157.5,2065,1621,4850000,48.5,77600,91500,,,,,FC
*,1250x1250,BCP,□-1250x1250x50,1250,1250,50,175,2271,1783,5270000,48.2,84300,100000,,,,,FB
*,1300x1300,BCP,□-1300x1300x25,1300,1300,25,87.5,1243,976,3320000,51.7,51100,58900,,,,,FD
*,1300x1300,BCP,□-1300x1300x28,1300,1300,28,98,1384,1087,3670000,51.5,56500,65300,,,,,FD
*,1300x1300,BCP,□-1300x1300x32,1300,1300,32,112,1570,1233,4130000,51.3,63500,73800,,,,,FD
*,1300x1300,BCP,□-1300x1300x36,1300,1300,36,126,1753,1376,4570000,51,70300,82000,,,,,FD
*,1300x1300,BCP,□-1300x1300x40,1300,1300,40,140,1934,1518,4990000,50.8,76800,89900,,,,,FC
*,1300x1300,BCP,□-1300x1300x45,1300,1300,45,157.5,2155,1691,5500000,50.5,84600,99600,,,,,FC
*,1300x1300,BCP,□-1300x1300x50,1300,1300,50,175,2371,1861,5980000,50.2,91900,109000,,,,,FB
*,1350x1350,BCP,□-1350x1350x25,1350,1350,25,87.5,1293,1015,3730000,53.7,55300,63700,,,,,FD
*,1350x1350,BCP,□-1350x1350x28,1350,1350,28,98,1440,1131,4130000,53.6,61200,70700,,,,,FD
*,1350x1350,BCP,□-1350x1350x32,1350,1350,32,112,1634,1283,4650000,53.3,68800,79800,,,,,FD
*,1350x1350,BCP,□-1350x1350x36,1350,1350,36,126,1825,1433,5140000,53.1,76200,88700,,,,,FD
*,1350x1350,BCP,□-1350x1350x40,1350,1350,40,140,2014,1581,5620000,52.9,83300,97400,,,,,FC
*,1350x1350,BCP,□-1350x1350x45,1350,1350,45,157.5,2245,1762,6200000,52.6,91800,108000,,,,,FC
*,1350x1350,BCP,□-1350x1350x50,1350,1350,50,175,2471,1940,6750000,52.3,100000,118000,,,,,FB
*,1400x1400,BCP,□-1400x1400x25,1400,1400,25,87.5,1343,1054,4180000,55.8,59700,68700,,,,,FD
*,1400x1400,BCP,□-1400x1400x28,1400,1400,28,98,1496,1175,4620000,55.6,66100,76200,,,,,FD
*,1400x1400,BCP,□-1400x1400x32,1400,1400,32,112,1698,1333,5210000,55.4,74400,86100,,,,,FD
*,1400x1400,BCP,□-1400x1400x36,1400,1400,36,126,1897,1489,5770000,55.1,82400,95800,,,,,FD
*,1400x1400,BCP,□-1400x1400x40,1400,1400,40,140,2094,1643,6310000,54.9,90100,105000,,,,,FC
*,1400x1400,BCP,□-1400x1400x45,1400,1400,45,157.5,2335,1833,6960000,54.6,99400,117000,,,,,FC
*,1400x1400,BCP,□-1400x1400x50,1400,1400,50,175,2571,2018,7580000,54.3,108000,128000,,,,,FC
_,400x400,溶接,□-400x400x16,400,400,16,0,245.8,193,60500,15.7,3030,3540,,,FA,FA,FB
_,400x400,溶接,□-400x400x19,400,400,19,0,289.6,227,70200,15.6,3510,4140,,,FA,FA,FA
_,400x400,溶接,□-400x400x22,400,400,22,0,332.6,261,79500,15.5,3970,4720,,,FA,FA,FA
_,400x400,溶接,□-400x400x25,400,400,25,0,375,294,88300,15.3,4410,5280,,,FA,FA,FA
_,400x400,溶接,□-400x400x28,400,400,28,0,416.6,327,96600,15.2,4830,5820,,,FA,FA,FA
_,400x400,溶接,□-400x400x32,400,400,32,0,471,370,107000,15.1,5360,6520,,,FA,FA,FA
_,450x450,溶接,□-450x450x16,450,450,16,0,277.8,218,87300,17.7,3880,4520,,,FB,FB,FC
_,450x450,溶接,□-450x450x19,450,450,19,0,327.6,257,102000,17.6,4520,5300,,,FA,FA,FA
_,450x450,溶接,□-450x450x22,450,450,22,0,376.6,296,115000,17.5,5120,6050,,,FA,FA,FA
_,450x450,溶接,□-450x450x25,450,450,25,0,425,334,128000,17.4,5710,6780,,,FA,FA,FA
_,450x450,溶接,□-450x450x28,450,450,28,0,472.6,371,141000,17.3,6260,7490,,,FA,FA,FA
_,450x450,溶接,□-450x450x32,450,450,32,0,535,420,157000,17.1,6970,8400,,,FA,FA,FA
_,450x450,溶接,□-450x450x36,450,450,36,0,596.2,468,172000,17,7630,9280,,,FA,FA,FA
_,450x450,溶接,□-450x450x40,450,450,40,0,656,515,186000,16.8,8250,10100,,,FA,FA,FA
_,500x500,溶接,□-500x500x16,500,500,16,0,309.8,243,121000,19.8,4840,5620,,,FB,FC,FC
_,500x500,溶接,□-500x500x19,500,500,19,0,365.6,287,141000,19.7,5650,6600,,,FA,FB,FB
_,500x500,溶接,□-500x500x22,500,500,22,0,420.6,330,161000,19.5,6420,7550,,,FA,FA,FA
_,500x500,溶接,□-500x500x25,500,500,25,0,475,373,179000,19.4,7160,8470,,,FA,FA,FA
_,500x500,溶接,□-500x500x28,500,500,28,0,528.6,415,197000,19.3,7880,9370,,,FA,FA,FA
_,500x500,溶接,□-500x500x32,500,500,32,0,599,470,220000,19.2,8790,10500,,,FA,FA,FA
_,500x500,溶接,□-500x500x36,500,500,36,0,668.2,525,241000,19,9650,11600,,,FA,FA,FA
_,500x500,溶接,□-500x500x40,500,500,40,0,736,578,262000,18.9,10500,12700,,,FA,FA,FA
_,500x500,溶接,□-500x500x45,500,500,45,0,819,643,285000,18.7,11400,14000,,,FA,FA,FA
_,500x500,溶接,□-500x500x50,500,500,50,0,900,707,308000,18.5,12300,15300,,,FA,FA,FA
_,550x550,溶接,□-550x550x16,550,550,16,0,341.8,268,163000,21.8,5910,6850,,,FC,FC,FC
_,550x550,溶接,□-550x550x19,550,550,19,0,403.6,317,190000,21.7,6910,8040,,,FB,FC,FC
_,550x550,溶接,□-550x550x22,550,550,22,0,464.6,365,216000,21.6,7860,9210,,,FA,FA,FB
_,550x550,溶接,□-550x550x25,550,550,25,0,525,412,242000,21.5,8790,10300,,,FA,FA,FA
_,550x550,溶接,□-550x550x28,550,550,28,0,584.6,459,266000,21.3,9680,11500,,,FA,FA,FA
_,550x550,溶接,□-550x550x32,550,550,32,0,663,520,298000,21.2,10800,12900,,,FA,FA,FA
_,550x550,溶接,□-550x550x36,550,550,36,0,740.2,581,328000,21,11900,14300,,,FA,FA,FA
_,550x550,溶接,□-550x550x40,550,550,40,0,816,641,356000,20.9,12900,15600,,,FA,FA,FA
_,550x550,溶接,□-550x550x45,550,550,45,0,909,714,389000,20.7,14200,17300,,,FA,FA,FA
_,550x550,溶接,□-550x550x50,550,550,50,0,1000,785,421000,20.5,15300,18800,,,FA,FA,FA
_,550x550,溶接,□-550x550x55,550,550,55,0,1089,855,450000,20.3,16400,20300,,,FA,FA,FA
_,600x600,溶接,□-600x600x19,600,600,19,0,441.6,347,249000,23.7,8290,9620,,,FC,FC,FC
_,600x600,溶接,□-600x600x22,600,600,22,0,508.6,399,284000,23.6,9450,11000,,,FA,FB,FC
_,600x600,溶接,□-600x600x25,600,600,25,0,575,451,317000,23.5,10600,12400,,,FA,FA,FA
_,600x600,溶接,□-600x600x28,600,600,28,0,640.6,503,350000,23.4,11700,13800,,,FA,FA,FA
_,600x600,溶接,□-600x600x32,600,600,32,0,727,571,392000,23.2,13100,15500,,,FA,FA,FA
_,600x600,溶接,□-600x600x36,600,600,36,0,812.2,638,432000,23.1,14400,17200,,,FA,FA,FA
_,600x600,溶接,□-600x600x40,600,600,40,0,896,703,471000,22.9,15700,18800,,,FA,FA,FA
_,600x600,溶接,□-600x600x45,600,600,45,0,999,784,516000,22.7,17200,20800,,,FA,FA,FA
_,600x600,溶接,□-600x600x50,600,600,50,0,1100,864,559000,22.5,18600,22800,,,FA,FA,FA
_,600x600,溶接,□-600x600x55,600,600,55,0,1199,941,600000,22.4,20000,24600,,,FA,FA,FA
_,600x600,溶接,□-600x600x60,600,600,60,0,1296,1017,638000,22.2,21300,26400,,,FA,FA,FA
_,650x650,溶接,□-650x650x19,650,650,19,0,479.6,376,319000,25.8,9800,11400,,,FC,FC,FC
_,650x650,溶接,□-650x650x22,650,650,22,0,552.6,434,364000,25.7,11200,13000,,,FB,FC,FC
_,650x650,溶接,□-650x650x25,650,650,25,0,625,491,408000,25.5,12500,14700,,,FA,FB,FB
_,650x650,溶接,□-650x650x28,650,650,28,0,696.6,547,450000,25.4,13800,16300,,,FA,FA,FA
_,650x650,溶接,□-650x650x32,650,650,32,0,791,621,505000,25.3,15500,18300,,,FA,FA,FA
_,650x650,溶接,□-650x650x36,650,650,36,0,884.2,694,557000,25.1,17200,20400,,,FA,FA,FA
_,650x650,溶接,□-650x650x40,650,650,40,0,976,766,608000,25,18700,22400,,,FA,FA,FA
_,650x650,溶接,□-650x650x45,650,650,45,0,1089,855,668000,24.8,20600,24800,,,FA,FA,FA
_,650x650,溶接,□-650x650x50,650,650,50,0,1200,942,725000,24.6,22300,27100,,,FA,FA,FA
_,650x650,溶接,□-650x650x55,650,650,55,0,1309,1028,779000,24.4,24000,29300,,,FA,FA,FA
_,650x650,溶接,□-650x650x60,650,650,60,0,1416,1112,830000,24.2,25500,31400,,,FA,FA,FA
