*,シリーズ,鋼種,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,235,295,325,385,440
_,900x900,溶接,□-900x900x32,900,900,32,0,1111,872,1400000,35.5,31000,36200,,,FB,FB,FC
_,900x900,溶接,□-900x900x36,900,900,36,0,1244,977,1550000,35.3,34500,40300,,,FA,FA,FB
_,900x900,溶接,□-900x900x40,900,900,40,0,1376,1080,1700000,35.1,37800,44400,,,FA,FA,FA
_,900x900,溶接,□-900x900x45,900,900,45,0,1539,1208,1880000,35,41800,49400,,,FA,FA,FA
_,900x900,溶接,□-900x900x50,900,900,50,0,1700,1334,2050000,34.8,45600,54300,,,FA,FA,FA
_,900x900,溶接,□-900x900x55,900,900,55,0,1859,1459,2220000,34.6,49400,59000,,,FA,FA,FA
_,900x900,溶接,□-900x900x60,900,900,60,0,2016,1583,2380000,34.4,53000,63600,,,FA,FA,FA
_,900x900,溶接,□-900x900x65,900,900,65,0,2171,1704,2540000,34.2,56400,68100,,,FA,FA,FA
_,900x900,溶接,□-900x900x70,900,900,70,0,2324,1824,2690000,34,59700,72500,,,FA,FA,FA
_,900x900,溶接,□-900x900x75,900,900,75,0,2475,1943,2830000,33.8,62900,76800,,,FA,FA,FA
_,900x900,溶接,□-900x900x80,900,900,80,0,2624,2060,2970000,33.6,66000,80900,,,FA,FA,FA
_,950x950,溶接,□-950x950x25,950,950,25,0,925,726,1320000,37.8,27800,32100,,,FC,FD,FD
_,950x950,溶接,□-950x950x28,950,950,28,0,1033,811,1460000,37.7,30800,35700,,,FC,FC,FC
_,950x950,溶接,□-950x950x32,950,950,32,0,1175,922,1650000,37.5,34800,40500,,,FB,FC,FC
_,950x950,溶接,□-950x950x36,950,950,36,0,1316,1033,1840000,37.3,38600,45100,,,FA,FB,FB
_,950x950,溶接,□-950x950x40,950,950,40,0,1456,1143,2010000,37.2,42400,49700,,,FA,FA,FA
_,950x950,溶接,□-950x950x45,950,950,45,0,1629,1279,2230000,37,46900,55300,,,FA,FA,FA
_,950x950,溶接,□-950x950x50,950,950,50,0,1800,1413,2440000,36.8,51300,60800,,,FA,FA,FA
_,950x950,溶接,□-950x950x55,950,950,55,0,1969,1546,2640000,36.6,55500,66200,,,FA,FA,FA
_,950x950,溶接,□-950x950x60,950,950,60,0,2136,1677,2830000,36.4,59600,71400,,,FA,FA,FA
_,950x950,溶接,□-950x950x65,950,950,65,0,2301,1806,3020000,36.2,63600,76500,,,FA,FA,FA
_,950x950,溶接,□-950x950x70,950,950,70,0,2464,1934,3200000,36,67400,81500,,,FA,FA,FA
_,950x950,溶接,□-950x950x75,950,950,75,0,2625,2061,3370000,35.9,71000,86300,,,FA,FA,FA
