key,厚さ,幅,断面積,単位質量
FB-100x32,32,100,32,25.1
FB-125x32,32,125,40,31.4
FB-150x32,32,150,48,37.7
FB-230x32,32,230,73.6,57.8
FB-250x32,32,250,80,62.8
FB-280x32,32,280,89.6,70.3
FB-300x32,32,300,96,75.4
FB-350x32,32,350,112,87.9
FB-400x32,32,400,128,100
FB-450x32,32,450,144,113
FB-500x32,32,500,160,126
FB-75x36,36,75,27,21.2
FB-90x36,36,90,32.4,25.4
FB-100x36,36,100,36,28.3
FB-125x36,36,125,45,35.3
FB-150x36,36,150,54,42.4
FB-180x36,36,180,64.8,50.9
FB-200x36,36,200,72,56.5
FB-230x36,36,230,82.8,65
FB-250x36,36,250,90,70.6
FB-280x36,36,280,100.8,79.1
FB-300x36,36,300,108,84.8
FB-350x36,36,350,126,98.9
FB-400x36,36,400,144,113
FB-450x36,36,450,162,127
FB-500x36,36,500,180,141
FB-75x40,40,75,30,23.6
FB-90x40,40,90,36,28.3
FB-100x40,40,100,40,31.4
FB-125x40,40,125,50,39.2
FB-150x40,40,150,60,47.1
FB-180x40,40,180,72,56.5
FB-200x40,40,200,80,62.8
FB-230x40,40,230,92,72.2
FB-250x40,40,250,100,78.5
FB-280x40,40,280,112,87.9
FB-300x40,40,300,120,94.2
FB-350x40,40,350,140,110
FB-400x40,40,400,160,126
FB-450x40,40,450,180,141
FB-500x40,40,500,200,157
FB-75x45,45,75,33.75,26.5
FB-90x45,45,90,40.5,31.8
FB-100x45,45,100,45,35.3
FB-125x45,45,125,56.25,44.2
FB-150x45,45,150,67.5,53
FB-180x45,45,180,81,63.6
FB-250x45,45,250,112.5,88.3
FB-280x45,45,280,126,98.9
FB-300x45,45,300,135,106
FB-350x45,45,350,157.5,124
FB-400x45,45,400,180,141
FB-450x45,45,450,202.5,159
FB-500x45,45,500,225,177
