*,key,種類,D,t,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325,幅厚比355,幅厚比385,幅厚比440
_,〇-650x16,UOE/板巻き,650,16,318.7,250,160000,22.4,4930,6430,FA,FB,FB,,
_,〇-650x19,UOE/板巻き,650,19,376.6,296,188000,22.3,5770,7570,FA,FA,FB,FB,FB
_,〇-650x22,UOE/板巻き,650,22,434,341,214000,22.2,6590,8680,FA,FA,FA,FA,FB
_,〇-650x25,UOE/板巻き,650,25,490.9,385,240000,22.1,7390,9770,FA,FA,FA,FA,FA
_,〇-650x28,UOE/板巻き,650,28,547.1,429,265000,22,8160,10800,FA,FA,FA,FA,FA
_,〇-650x32,UOE/板巻き,650,32,621.3,488,297000,21.9,9150,12200,FA,FA,FA,FA,FA
_,〇-650x36,UOE/板巻き,650,36,694.4,545,328000,21.7,10100,13600,FA,FA,FA,FA,FA
_,〇-650x40,UOE/板巻き,650,40,766.5,602,358000,21.6,11000,14900,FA,FA,FA,FA,FA
_,〇-650x45,UOE/板巻き,650,45,855.3,671,393000,21.4,12100,16500,FA,FA,FA,FA,FA
_,〇-650x50,UOE/板巻き,650,50,942.5,740,427000,21.3,13100,18000,FA,FA,FA,FA,FA
_,〇-650x55,UOE/板巻き,650,55,1028,807,459000,21.1,14100,19500,FA,FA,FA,FA,FA
_,〇-650x60,UOE/板巻き,650,60,1112,873,489000,21,15000,21000,FA,FA,FA,FA,
_,〇-650x65,UOE/板巻き,650,65,1195,938,517000,20.8,15900,22300,FA,FA,FA,FA,
_,〇-700x16,UOE/板巻き,700,16,343.8,270,201000,24.2,5750,7490,FA,FB,FB,,
_,〇-700x19,UOE/板巻き,700,19,406.5,319,236000,24.1,6740,8810,FA,FB,FB,FB,FB
_,〇-700x22,UOE/板巻き,700,22,468.6,368,270000,24,7700,10100,FA,FA,FA,FB,FB
_,〇-700x25,UOE/板巻き,700,25,530.1,416,302000,23.9,8640,11400,FA,FA,FA,FA,FB
_,〇-700x28,UOE/板巻き,700,28,591.1,464,334000,23.8,9550,12700,FA,FA,FA,FA,FA
_,〇-700x32,UOE/板巻き,700,32,671.5,527,375000,23.6,10700,14300,FA,FA,FA,FA,FA
_,〇-700x36,UOE/板巻き,700,36,751,589,415000,23.5,11900,15900,FA,FA,FA,FA,FA
_,〇-700x40,UOE/板巻き,700,40,829.4,651,453000,23.4,13000,17400,FA,FA,FA,FA,FA
_,〇-700x45,UOE/板巻き,700,45,926,727,499000,23.2,14300,19300,FA,FA,FA,FA,FA
_,〇-700x50,UOE/板巻き,700,50,1021,801,542000,23,15500,21200,FA,FA,FA,FA,FA
_,〇-700x55,UOE/板巻き,700,55,1114,875,584000,22.9,16700,22900,FA,FA,FA,FA,FA
_,〇-700x60,UOE/板巻き,700,60,1206,947,623000,22.7,17800,24600,FA,FA,FA,FA,FA
_,〇-700x65,UOE/板巻き,700,65,1297,1018,660000,22.6,18900,26300,FA,FA,FA,FA,
_,〇-700x70,UOE/板巻き,700,70,1385,1088,696000,22.4,19900,17900,FA,FA,FA,FA,
_,〇-750x16,UOE/板巻き,750,16,368.9,290,249000,26,6630,8620,FA,FB,FC,,
_,〇-750x19,UOE/板巻き,750,19,436.3,343,292000,25.9,7780,10200,FA,FB,FB,FB,FC
_,〇-750x22,UOE/板巻き,750,22,503.2,395,334000,25.8,8900,11700,FA,FA,FB,FB,FB
_,〇-750x25,UOE/板巻き,750,25,569.4,447,375000,25.6,9990,13100,FA,FA,FA,FA,FB
_,〇-750x28,UOE/板巻き,750,28,635.1,499,414000,25.5,11100,14600,FA,FA,FA,FA,FB
_,〇-750x32,UOE/板巻き,750,32,721.8,567,466000,25.4,12400,16500,FA,FA,FA,FA,FA
_,〇-750x36,UOE/板巻き,750,36,807.5,634,516000,25.3,13800,18400,FA,FA,FA,FA,FA
_,〇-750x40,UOE/板巻き,750,40,892.2,700,564000,25.1,15000,20200,FA,FA,FA,FA,FA
_,〇-750x45,UOE/板巻き,750,45,996.7,782,622000,25,16600,22400,FA,FA,FA,FA,FA
_,〇-750x50,UOE/板巻き,750,50,1100,863,677000,24.8,18100,24500,FA,FA,FA,FA,FA
_,〇-750x55,UOE/板巻き,750,55,1201,943,730000,24.6,19500,26600,FA,FA,FA,FA,FA
_,〇-750x60,UOE/板巻き,750,60,1301,1021,780000,24.5,20800,28600,FA,FA,FA,FA,FA
_,〇-750x65,UOE/板巻き,750,65,1399,1098,828000,24.3,22100,30600,FA,FA,FA,FA,FA
_,〇-750x70,UOE/板巻き,750,70,1495,1174,873000,24.2,23300,32500,FA,FA,FA,FA,
_,〇-800x16,UOE/板巻き,800,16,394.1,309,303000,27.7,7570,9840,FA,FB,FC,,
_,〇-800x19,UOE/板巻き,800,19,466.2,366,356000,27.6,8890,11600,FA,FB,FB,FB,FC
_,〇-800x22,UOE/板巻き,800,22,537.7,422,407000,27.5,10200,13300,FA,FB,FB,FB,FB
_,〇-800x25,UOE/板巻き,800,25,608.7,478,457000,27.4,11400,15000,FA,FA,FA,FB,FB
_,〇-800x28,UOE/板巻き,800,28,679.1,533,507000,27.3,12700,16700,FA,FA,FA,FA,FB
